"Zeitstempel","Bitte bestätigen Sie, dass Sie die Informationen gelesen haben und mit der Teilnahme sowie der anonymen Auswertung Ihrer Antworten einverstanden sind.","Welches Geschlecht haben Sie?","Wie alt sind Sie?","In welchem Land leben Sie derzeit?","Was ist Ihr höchster Bildungsabschluss?","Was ist Ihr derzeitiger beruflicher Status?","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist akkurat (präzise).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vollständig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist sachkundig (kompetent).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist ehrlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vertrauenswürdig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist zuverlässig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist klar.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist nicht verwirrend.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist verständlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist interessant.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung hält meine Aufmerksamkeit.]","Wie bewerten Sie den Einsatz von Künstlicher Intelligenz in der Werbung allgemein?"
"2025/05/20 10:33:18 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","35–44 Jahre","Deutschland","Bachelorabschluss","Angestellte/r","beschreibt gut","beschreibt gut","beschreibt gut","neutral","neutral","neutral","neutral","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","Eher negativ"
"2025/05/20 11:25:52 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","35–44 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","Angestellte/r","beschreibt gut","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt sehr gut","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt sehr schlecht","Eher negativ"
"2025/05/21 4:02:12 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Deutschland","Berufsausbildung / Lehre","Selbstständig","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt gut","beschreibt sehr schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","neutral","Eher positiv"
"2025/05/21 6:59:46 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Deutschland","(Fach-)Abitur / Matura","Angestellte/r","beschreibt schlecht","neutral","beschreibt schlecht","neutral","neutral","neutral","neutral","neutral","neutral","neutral","neutral","Neutral"
"2025/05/24 6:51:29 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","Bachelorabschluss","Student/in","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt sehr gut","beschreibt gut","neutral","beschreibt schlecht","beschreibt sehr gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Neutral"
"2025/05/25 5:39:25 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Bachelorabschluss","Angestellte/r","beschreibt gut","neutral","beschreibt schlecht","beschreibt schlecht","neutral","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt sehr schlecht","Eher negativ"
"2025/05/26 6:41:06 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","25–34 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt gut","beschreibt schlecht","neutral","neutral","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Eher negativ"
"2025/05/26 10:05:22 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","neutral","neutral","neutral","beschreibt gut","neutral","beschreibt sehr gut","beschreibt sehr gut","beschreibt sehr gut","neutral","neutral","Eher positiv"
"2025/05/28 4:00:44 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","neutral","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt schlecht","neutral","beschreibt schlecht","Neutral"
"2025/05/28 10:38:00 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","55–64 Jahre","Deutschland","Doktorat (PhD)","Selbstständig","neutral","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt gut","neutral","Eher positiv"
"2025/05/28 10:39:06 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","35–44 Jahre","Deutschland","Berufsausbildung / Lehre","Angestellte/r","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","Eher negativ"
"2025/05/28 10:40:23 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Divers","Unter 18 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","In Ausbildung","beschreibt gut","beschreibt schlecht","neutral","beschreibt gut","neutral","neutral","beschreibt gut","beschreibt schlecht","neutral","neutral","beschreibt schlecht","Neutral"
"2025/05/28 10:51:06 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","neutral","beschreibt gut","beschreibt gut","neutral","beschreibt sehr gut","neutral","beschreibt gut","Sehr positiv"
"2025/05/28 10:51:44 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Divers","25–34 Jahre","Deutschland","Masterabschluss","Selbstständig","neutral","beschreibt gut","neutral","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","neutral","beschreibt sehr gut","beschreibt gut","neutral","Neutral"
"2025/05/28 10:52:34 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Schweiz","Doktorat (PhD)","Selbstständig","beschreibt sehr schlecht","beschreibt schlecht","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt gut","beschreibt sehr gut","beschreibt schlecht","beschreibt sehr schlecht","beschreibt sehr schlecht","Sehr negativ"
"2025/05/28 10:53:16 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","35–44 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","Angestellte/r","neutral","beschreibt schlecht","beschreibt sehr schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt gut","Eher negativ"
"2025/05/28 10:54:58 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","35–44 Jahre","Deutschland","Doktorat (PhD)","Beamte/r","beschreibt gut","neutral","beschreibt gut","neutral","beschreibt gut","neutral","beschreibt gut","beschreibt gut","beschreibt gut","neutral","beschreibt gut","Eher positiv"
"2025/05/28 10:55:40 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Österreich","(Fach-)Abitur / Matura","In Ausbildung","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt gut","beschreibt sehr gut","neutral","beschreibt gut","neutral","beschreibt gut","Sehr positiv"
"2025/05/29 11:18:34 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","Unter 18 Jahre","Deutschland","Pflichtschule (z. B. Hauptschule)","In Ausbildung","neutral","beschreibt schlecht","beschreibt gut","beschreibt schlecht","neutral","neutral","beschreibt gut","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt gut","Neutral"
"2025/05/29 11:21:59 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Masterabschluss","Angestellte/r","beschreibt schlecht","beschreibt schlecht","beschreibt gut","neutral","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt sehr schlecht","Neutral"
"2025/05/29 7:11:34 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Pflichtschule (z. B. Hauptschule)","Angestellte/r","beschreibt schlecht","beschreibt schlecht","neutral","neutral","beschreibt gut","beschreibt sehr gut","beschreibt sehr schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","neutral","Eher negativ"
